Table,,,,,,"2-6.-5,000m",,Row,Scoring,Tables.,,,,,,,
Male,17-20,21-25 26-30 31-35 36-40 41-45 46-50,,,,,,51+,Female,17-20,21-25 26-30 31-35 36-40 41-45 46-50,,,,,,51+
Max,18:00,18:15 18:30 18:45 19:00 19:15 19:35 20:00,,,,,,,Max,21:00,21:15 21:30 21:45 22:00 22:15 22:35 23:00,,,,,,
Min,23:30,23:50 24:10 24:30 24:50 25:10 25:35 26:00,,,,,,,Min,26:30,26:50 27:10 27:30 27:50 28:10 28:35 29:00,,,,,,
Min Pts,40,40,40,40,40,40,40,40,Min Pts,40,40,40,40,40,40,40,40
18:00,100,,,,,,,,21:00,100,,,,,,,
18:05,99,,,,,,,,21:05,99,,,,,,,
18:10,98,,,,,,,,21:10,98,,,,,,,
18:15,97,100,,,,,,,21:15,97,100,,,,,,
18:20,96,99,,,,,,,21:20,96,99,,,,,,
18:25,95,98,,,,,,,21:25,95,98,,,,,,
18:30,95,97,100,,,,,,21:30,95,97,100,,,,,
18:35,94,96,99,,,,,,21:35,94,96,99,,,,,
18:40,93,96,98,,,,,,21:40,93,96,98,,,,,
18:45,92,95,97,100,,,,,21:45,92,95,97,100,,,,
18:50,91,94,96,99,,,,,21:50,91,94,96,99,,,,
18:55,90,93,96,98,,,,,21:55,90,93,96,98,,,,
19:00,89,92,95,97,100,,,,22:00,89,92,95,97,100,,,
19:05,88,91,94,97,99,,,,22:05,88,91,94,97,99,,,
19:10,87,90,93,96,98,,,,22:10,87,90,93,96,98,,,
19:15,86,89,92,95,97,100,,,22:15,86,89,92,95,97,100,,
19:20,85,88,91,94,97,99,,,22:20,85,88,91,94,97,99,,
19:25,85,87,90,93,96,98,,,22:25,85,87,90,93,96,98,,
19:30,84,87,89,92,95,97,,,22:30,84,87,89,92,95,97,,
19:35,83,86,89,91,94,97,100,,22:35,83,86,89,91,94,97,100,
19:40,82,85,88,90,93,96,99,,22:40,82,85,88,90,93,96,99,
19:45,81,84,87,90,92,95,98,,22:45,81,84,87,90,92,95,98,
19:50,80,83,86,89,91,94,98,,22:50,80,83,86,89,91,94,98,
19:55,79,82,85,88,91,93,97,,22:55,79,82,85,88,91,93,97,
20:00,78,81,84,87,90,92,96,100,23:00,78,81,84,87,90,92,96,100
20:05,77,80,83,86,89,92,95,99,23:05,77,80,83,86,89,92,95,99
20:10,76,79,82,85,88,91,94,98,23:10,76,79,82,85,88,91,94,98
