Time Score
4:20 100
4:17 99
4:14 98
4:11 97
4:07 96
4:04 95
4:01 94
3:58 93
3:54 92
3:51 91
3:48 90
3:44 89
3:41 88
3:38 87
3:35 86
3:31 85
3:28 84
3:25 83
3:21 82
3:18 81
3:15 80
3:12 79
3:08 78
3:05 77
3:02 76
2:58 75
2:55 74
2:52 73
2:49 72
2:45 71
2:42 70
2:39 69
2:35 68
2:32 67
2:29 66
2:26 65
2:22 64
2:19 63
2:16 62
2:12 61
2:09 60
2:06 59
2:03 58
1:59 57
1:56 56
1:53 55
1:49 54
1:46 53
1:43 52
1:40 51
1:36 50
1:33 49
1:30 48
1:26 47
1:23 46
1:20 45
1:17 44
1:13 43
1:10 42
1:07 41
1:03 40
